Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_014466175.1	ASM1446617v1	Vespula pensylvanica	30213					Volc-1	male	Annotation submitted by University of Otago	Chromosome	2020-09-09	JACSDY01	222
GCF_014466175.1	ASM1446617v1	Vespula pensylvanica	30213					Volc-1	male	NCBI Vespula pensylvanica Annotation Release 100	Chromosome	2020-09-09	JACSDY01	222
GCF_012295235.1	ASM1229523v2	Primulina huaijiensis	1492673					GDHJ02		GCF_012295235.1-RS_2025_04	Chromosome	2020-04-15	JAARMK01	21120
GCF_016433145.1	AgileGrace	Gracilinanus agilis	191870					LMUSP501	male	NCBI Gracilinanus agilis Annotation Release 100	Chromosome	2021-01-06	JADWME01	60713
GCA_029228625.1	FCFRP_Bhyg_1.0	Pseudolycoriella hygida	35572					HSMRA1968		Annotation submitted by University of Sao Paulo	Chromosome	2023-03-20	WJQU01	6452
GCA_022985145.1	PDJA	Pangasius djambal	1691987					Pdj_M5554	male	Annotation submitted by GenoFish	Chromosome	2022-04-19	JAKXMS01	374880
GCA_964199285.2	IXHE_v2	Ixodes hexagonus	34612							Annotation submitted by Genoscope	Chromosome	2025-07-20	CAXMYW02	96658
GCA_020142125.1	MUOH_PhPlat_1.1	Phrynosoma platyrhinos	52577					NK-2021	female	Annotation submitted by Miami University	Chromosome	2021-09-27	JAIPUX01	5291
GCA_047456115.1	Hanom1.0-20201016	Helianthus anomalus	73274				ANO-2822			Annotation submitted by INRAE/CNRS	Chromosome	2025-02-05	JAWUZI01	201340
GCA_013677275.1	ASM1367727v1	Gossypium schwendimanii	34291					1		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAF01	332957
GCA_013467495.1	ASM1346749v1	Gossypium gossypioides	34282					5		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABEZY01	344899
GCA_013467465.1	ASM1346746v1	Gossypium trilobum	34281					8		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABEZW01	290398
GCA_013467485.1	ASM1346748v1	Gossypium lobatum	34289					157		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABEZX01	380358
GCA_013487665.1	ASM1348766v1	Gossypium aridum	34290					185		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAA01	382310
GCA_013511315.1	ASM1351131v1	Gossypium laxum	34288					4		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABEZV01	470382
GCA_013677265.1	ASM1367726v1	Gossypium armourianum	34283					6		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAE01	446787
GCF_000002855.4	ASM285v2	Aspergillus niger	5061							Annotation submitted by DSM, The Netherlands	Scaffold	2007-04-11		19
GCA_000150675.2	ASM15067v2	Verticillium dahliae VdLs.17	498257		VdLs.17					Annotation submitted by Broad Institute	Scaffold	2011-09-15	ABJE01	52
GCF_000150675.1	ASM15067v2	Verticillium dahliae VdLs.17	498257		VdLs.17					Annotation submitted by Broad Institute	Scaffold	2011-09-15	ABJE01	52
GCF_000150535.2	Papaya1.0	Carica papaya	3649			SunUp				NCBI Carica papaya Annotation Release 100	Scaffold	2008-05-06	ABIM01	17764
GCA_000226545.1	ASM22654v1	Podospora anserina S mat+	515849		S mat+					Annotation submitted by Genoscope - Centre National de Séquençage	Scaffold	2008-05-14		33
GCF_000226545.1	ASM22654v1	Podospora anserina S mat+	515849		S mat+					Annotation submitted by Genoscope - Centre National de Séquençage	Scaffold	2008-05-14		33
GCA_000006425.1	ASM642v1	Cryptosporidium hominis	237895		TU502					Annotation submitted by Virginia Commonwealth University	Scaffold	2004-10-27	AAEL01	1422
GCF_000006425.1	ASM642v1	Cryptosporidium hominis TU502	353151		TU502					Annotation submitted by NCBI RefSeq	Scaffold	2004-10-27	AAEL01	1422
GCF_017311325.1	ASM1731132v1	Ursus maritimus	29073					PB19		NCBI Ursus maritimus Annotation Release 101	Scaffold	2021-03-09	JADGMR01	3899
GCF_002901205.1	cyaCae2	Cyanistes caeruleus	156563					BT333_1	male	NCBI Cyanistes caeruleus Annotation Release 100	Scaffold	2018-01-26	PDCF01	29297
GCA_002157705.1	Pgonderi_assembly01	Plasmodium gonderi	77519		ATCC 30045					Annotation submitted by Osaka University	Scaffold	2017-05-17	BDQF01	741
GCF_002157705.1	Pgonderi_assembly01	Plasmodium gonderi	77519		ATCC 30045					Annotation submitted by Osaka University	Scaffold	2017-05-17	BDQF01	741
GCF_003259725.1	athCun1	Athene cunicularia	194338					RWA	male	NCBI Athene cunicularia Annotation Release 100	Scaffold	2018-06-21	QEEU01	445
GCA_000151355.1	v2.0	Fusarium vanettenii 77-13-4	660122					77-13-4		Annotation submitted by DOE Joint Genome Institute	Scaffold	2009-08-27	ACJF01	209
GCF_000151355.1	v2.0	Fusarium vanettenii 77-13-4	660122					77-13-4		Annotation submitted by DOE Joint Genome Institute	Scaffold	2009-08-27	ACJF01	209
GCF_001654025.1	ASM165402v1	Drosophila arizonae	7263					ariz_Son04		NCBI Drosophila arizonae Annotation Release 100	Scaffold	2016-05-09	LSRM01	3178
GCA_051621885.1	PDG_Dpal_wgs	Drosophila palustris	95623					Dpal_TW	male	Annotation submitted by Michigan Technological University	Scaffold	2025-07-30	JBNQSE01	1153
GCA_000167675.2	v2.0	Trichoderma reesei QM6a	431241		QM6a					Annotation submitted by DOE Joint Genome Institute	Scaffold	2011-07-18	AAIL02	77
GCF_000167675.1	v2.0	Trichoderma reesei QM6a	431241		QM6a					Annotation submitted by DOE Joint Genome Institute	Scaffold	2011-07-18	AAIL02	77
GCA_003025095.1	Triha v1.0	Trichoderma harzianum CBS 226.95	983964		CBS 226.95					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-03-30	MBGI01	532
GCF_003025095.1	Triha v1.0	Trichoderma harzianum CBS 226.95	983964		CBS 226.95					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-03-30	MBGI01	532
GCA_000142945.1	ASM14294v1	Phytophthora infestans T30-4	403677		T30-4					Annotation submitted by Broad Institute	Scaffold	2009-06-17	AATU01	4921
GCF_000142945.1	ASM14294v1	Phytophthora infestans T30-4	403677		T30-4					Annotation submitted by Broad Institute	Scaffold	2009-06-17	AATU01	4921
GCA_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260	294746		ATCC 6260					Annotation submitted by Broad Institute	Scaffold	2007-05-08	AAFM01	9
GCF_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260	294746		ATCC 6260					Annotation submitted by Broad Institute	Scaffold	2007-05-08	AAFM01	9
GCA_023168085.2	PurlilCBS_1.0	Purpureocillium lilacinum	33203		CBS 284.36					Annotation submitted by Medical Mycology Research Center	Contig	2022-06-24	BQKW01	10
GCF_023168085.1	PurlilCBS_1.0	Purpureocillium lilacinum	33203		CBS 284.36					Annotation submitted by Medical Mycology Research Center	Contig	2022-04-01	BQKW01	10
GCA_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65	1036612		CBS 593.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	MRCH01	97
GCF_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65	1036612		CBS 593.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	MRCH01	97
GCA_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001	645133		M1.001					Annotation submitted by Broad Institute	Scaffold	2010-10-12	ACOD01	653
GCF_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001	645133		M1.001					Annotation submitted by Broad Institute	Scaffold	2010-10-12	ACOD01	653
GCA_001661405.1	Cybja1	Cyberlindnera jadinii NRRL Y-1542	983966		NRRL Y-1542					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LTAD01	76
GCF_001661405.1	Cybja1	Cyberlindnera jadinii NRRL Y-1542	983966		NRRL Y-1542					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LTAD01	76
GCA_000293215.1	Trichosporon asahii 1	Trichosporon asahii var. asahii CBS 2479	1186058		CBS 2479					Annotation submitted by Beijing Military Command General Hospital of PLA, China	Scaffold	2013-01-23	ALBS01	77
GCF_000293215.1	Trichosporon asahii 1	Trichosporon asahii var. asahii CBS 2479	1186058		CBS 2479					Annotation submitted by Beijing Military Command General Hospital of PLA, China	Scaffold	2013-01-23	ALBS01	77
GCA_004022145.1	Paevar1	Paecilomyces variotii	264951		CBS 101075					Annotation submitted by DOE Joint Genome Institute	Contig	2019-01-14	RCNU01	86
GCF_004022145.1	Paevar1	Paecilomyces variotii	264951		CBS 101075					Annotation submitted by DOE Joint Genome Institute	Contig	2019-01-14	RCNU01	86
GCA_001641265.1	ASM164126v1	Pseudogymnoascus destructans	655981		20631-21					Annotation submitted by US Forest Service	Scaffold	2016-05-10	LAJJ01	83
GCF_001641265.1	ASM164126v1	Pseudogymnoascus destructans	655981		20631-21					Annotation submitted by US Forest Service	Scaffold	2016-05-10	LAJJ01	83
GCA_001278385.1	MalaPachy	Malassezia pachydermatis	77020		CBS 1879					Annotation submitted by University of Utrecht	Scaffold	2015-09-02	LGAV01	91
GCF_001278385.1	MalaPachy	Malassezia pachydermatis	77020		CBS 1879					Annotation submitted by University of Utrecht	Scaffold	2015-09-02	LGAV01	91
GCA_001890905.1	Aspac1	Aspergillus aculeatus ATCC 16872	690307		ATCC 16872					Annotation submitted by JGI	Scaffold	2016-12-08	MRCK01	660
GCF_001890905.1	Aspac1	Aspergillus aculeatus ATCC 16872	690307		ATCC 16872					Annotation submitted by JGI	Scaffold	2016-12-08	MRCK01	660
GCA_000223485.1	Spathaspora passalidarum v2.0	Spathaspora passalidarum NRRL Y-27907	619300		NRRL Y-27907					Annotation submitted by DOE Joint Genome Institute	Scaffold	2011-08-25	AEIK01	8
GCF_000223485.1	Spathaspora passalidarum v2.0	Spathaspora passalidarum NRRL Y-27907	619300		NRRL Y-27907					Annotation submitted by DOE Joint Genome Institute	Scaffold	2011-08-25	AEIK01	8
GCA_001890125.1	Aspve1	Aspergillus versicolor CBS 583.65	1036611		CBS 583.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-06	MRBN01	51
GCF_001890125.1	Aspve1	Aspergillus versicolor CBS 583.65	1036611		CBS 583.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-06	MRBN01	51
GCA_000150705.2	Paracocci_br_Pb01_V2	Paracoccidioides lutzii Pb01	502779		Pb01					Annotation submitted by Broad Institute	Scaffold	2014-11-03	ABKH02	110
GCF_000150705.2	Paracocci_br_Pb01_V2	Paracoccidioides lutzii Pb01	502779		Pb01					Annotation submitted by Broad Institute	Scaffold	2014-11-03	ABKH02	110
GCA_000836115.1	Exop_spin_CBS89968_V1	Exophiala spinifera	91928		CBS 89968					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBY01	28
GCF_000836115.1	Exop_spin_CBS89968_V1	Exophiala spinifera	91928		CBS 89968					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBY01	28
GCA_022830035.1	ASM2283003v1	Ophidiomyces ophidiicola	1387563		CBS 122913					Annotation submitted by U.S. Geological Survey - National Wildlife Health Center	Scaffold	2022-04-07	JALAZP01	115
GCF_022830035.1	ASM2283003v1	Ophidiomyces ophidiicola	1387563		CBS 122913					Annotation submitted by U.S. Geological Survey - National Wildlife Health Center	Scaffold	2022-04-07	JALAZP01	115
GCA_001661265.1	Saico1	Saitoella complicata NRRL Y-17804	698492		NRRL Y-17804					Annotation submitted by JGI-PSF	Scaffold	2016-09-09	AEUO01	35
GCF_001661265.1	Saico1	Saitoella complicata NRRL Y-17804	698492		NRRL Y-17804					Annotation submitted by JGI-PSF	Scaffold	2016-09-09	AEUO01	35
GCA_000747765.1	ASM74776v1	Moesziomyces antarcticus	84753		JCM 10317					Annotation submitted by National Institute of Advanced Industrial Science and Technology	Scaffold	2014-08-21	BBIZ01	197
GCF_000747765.1	ASM74776v1	Moesziomyces antarcticus	84753		JCM 10317					Annotation submitted by National Institute of Advanced Industrial Science and Technology	Scaffold	2014-08-21	BBIZ01	197
GCA_001890805.1	Aspgl1	Aspergillus glaucus CBS 516.65	1160497		CBS 516.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LSTL01	82
GCF_001890805.1	Aspgl1	Aspergillus glaucus CBS 516.65	1160497		CBS 516.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-12-08	LSTL01	82
GCA_001664035.1	Metbi1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	869754		NRRL YB-4993					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-06-17	LXTC01	48
GCF_001664035.1	Metbi1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	869754		NRRL YB-4993					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-06-17	LXTC01	48
GCA_028828155.1	ASM2882815v1	Penicillium subrubescens	1316194		IBT 31985					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAJ01	14
GCF_028828155.1	ASM2882815v1	Penicillium subrubescens	1316194		IBT 31985					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQKAJ01	14
GCA_041956625.1	Talth1	Thermomyces dupontii	28565		NRRL 2155					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGTC01	28
GCF_041956625.1	Talth1	Thermomyces dupontii	28565		NRRL 2155					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGTC01	28
GCA_025201335.1	Gilper1	Gilbertella persicaria	101096		CBS 190.32					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-14	JAIWZQ01	125
GCF_025201335.1	Gilper1	Gilbertella persicaria	101096		CBS 190.32					Annotation submitted by DOE Joint Genome Institute	Contig	2022-09-14	JAIWZQ01	125
GCA_009176365.1	Aspalli1	Aspergillus alliaceus	209559		CBS 536.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWAS01	331
GCF_009176365.1	Aspalli1	Aspergillus alliaceus	209559		CBS 536.65					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWAS01	331
GCA_051309035.1	Mrafri1	Mrakia frigida	29902		ATCC 22029					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-05-07	JBAJAC01	118
GCF_051309035.1	Mrafri1	Mrakia frigida	29902		ATCC 22029					Annotation submitted by DOE Joint Genome Institute	Scaffold	2025-05-07	JBAJAC01	118
GCA_052058895.1	MBAN_PS3_1.0	Mucor bainieri	1095379		CBS 293.63					Annotation submitted by Duke University School of Medicine	Contig	2025-08-15	JBPVWE01	2264
GCA_001563125.1	CSAL01	Colletotrichum salicis	1209931		CBS 607.94					Annotation submitted by Universidad de Salamanca	Scaffold	2016-02-17	JFFI01	2776
GCA_001050175.1	Tpara_v1.0	Trichoderma parareesei	858221					CBS 125925		Annotation submitted by Vienna University of Technology	Scaffold	2015-07-08	LFMI01	885
GCA_001661245.1	Pacta1_2	Pachysolen tannophilus NRRL Y-2460	669874		NRRL Y-2460					Annotation submitted by JGI	Scaffold	2016-09-15	LZCH01	197
GCA_001720205.1	Cryp_amyl_CBS6039_V3	Cryptococcus amylolentus CBS 6039	1295533		CBS 6039					Annotation submitted by Broad Institute	Scaffold	2016-09-06	AWGJ01	15
GCF_001720205.1	Cryp_amyl_CBS6039_V3	Cryptococcus amylolentus CBS 6039	1295533		CBS 6039					Annotation submitted by Broad Institute	Scaffold	2016-09-06	AWGJ01	15
GCA_000149645.4	ASM14964v4	Aspergillus fischeri NRRL 181	331117		NRRL 181					Annotation submitted by TIGR	Scaffold	2006-12-14	AAKE03	163
GCF_000149645.3	ASM14964v4	Aspergillus fischeri NRRL 181	331117		NRRL 181					Annotation submitted by TIGR	Scaffold	2006-12-14	AAKE03	163
GCA_000181695.2	ASM18169v2	Malassezia globosa CBS 7966	425265		CBS 7966					Annotation submitted by The Procter & Gamble Company	Contig	2007-11-02	AAYY01	62
GCF_000181695.2	ASM18169v2	Malassezia globosa CBS 7966	425265		CBS 7966					Annotation submitted by The Procter & Gamble Company	Contig	2007-11-02	AAYY01	62
GCA_000835475.1	Clad_bant_CBS_173_52_V1	Cladophialophora bantiana CBS 173.52	1442370		CBS 173.52					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBT01	60
GCF_000835475.1	Clad_bant_CBS_173_52_V1	Cladophialophora bantiana CBS 173.52	1442370		CBS 173.52					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBT01	60
GCA_000221225.1	CTHT_3.0	Thermochaetoides thermophila DSM 1495	759272		DSM 1495					Annotation submitted by EMBL	Scaffold	2011-07-22	ADUW01	21
GCF_000221225.1	CTHT_3.0	Thermochaetoides thermophila DSM 1495	759272		DSM 1495					Annotation submitted by EMBL	Scaffold	2011-07-22	ADUW01	21
GCA_000409485.1	GLAREA	Glarea lozoyensis ATCC 20868	1116229		ATCC 20868					Annotation submitted by Institute Of Microbiology, Chinese Academy of Sciences 	Scaffold	2013-06-14	ALVE01	22
GCF_000409485.1	GLAREA	Glarea lozoyensis ATCC 20868	1116229		ATCC 20868					Annotation submitted by Institute Of Microbiology, Chinese Academy of Sciences 	Scaffold	2013-06-14	ALVE01	22
GCA_000004155.2	SCY4	Schizosaccharomyces cryophilus OY26	653667		OY26					Annotation submitted by Broad Institute	Scaffold	2013-07-31	ACQJ02	30
GCF_000004155.1	SCY4	Schizosaccharomyces cryophilus OY26	653667		OY26					Annotation submitted by Broad Institute	Scaffold	2013-07-31	ACQJ02	30
GCA_003184785.1	Aspjap1	Aspergillus japonicus CBS 114.51	1448312		CBS 114.51					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTF01	163
GCF_003184785.1	Aspjap1	Aspergillus japonicus CBS 114.51	1448312		CBS 114.51					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTF01	163
GCA_003184765.1	Aspacu1	Aspergillus aculeatinus CBS 121060	1448322		CBS 121060					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTE01	121
GCF_003184765.1	Aspacu1	Aspergillus aculeatinus CBS 121060	1448322		CBS 121060					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-04	PSTE01	121
GCA_001661395.1	Hypbu1	Hyphopichia burtonii NRRL Y-1933	984485		NRRL Y-1933					Annotation submitted by DOE Joint Genome Institute	Scaffold	2016-09-15	LYBQ01	27
GCF_001661395.1	Hypbu1	Hyphopichia burtonii NRRL Y-1933	984485		NRRL Y-1933					Annotation submitted by NCBI RefSeq	Scaffold	2016-09-15	LYBQ01	27
GCA_000150035.1	ASM15003v1	Vanderwaltozyma polyspora DSM 70294	436907		DSM 70294					Annotation submitted by Trinity College Dublin, Ireland	Scaffold	2007-08-17	AAZN01	281
GCF_000150035.1	ASM15003v1	Vanderwaltozyma polyspora DSM 70294	436907		DSM 70294					Annotation submitted by Trinity College Dublin, Ireland	Scaffold	2007-08-17	AAZN01	281
GCA_003426965.1	ASM342696v1	Aspergillus tanneri	1220188		NIH1004					Annotation submitted by JCVI	Contig	2018-08-24	QUQM01	14
GCF_003426965.1	ASM342696v1	Aspergillus tanneri	1220188		NIH1004					Annotation submitted by JCVI	Contig	2018-08-24	QUQM01	14
GCA_038381095.1	Phycap1	Phyllosticta capitalensis	121624		CBS 128856					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-18	JBBWUB01	14
GCF_038381095.1	Phycap1	Phyllosticta capitalensis	121624		CBS 128856					Annotation submitted by DOE Joint Genome Institute	Contig	2024-04-18	JBBWUB01	14
GCA_013036055.1	ASM1303605v1	Alternaria burnsii	1187904		CBS107.38					Annotation submitted by Northwest A&F University	Scaffold	2020-05-11	JAAABM01	67
GCF_013036055.1	ASM1303605v1	Alternaria burnsii	1187904		CBS107.38					Annotation submitted by Northwest A&F University	Scaffold	2020-05-11	JAAABM01	67
GCA_000835505.1	Exop_xeno_CBS118157_V1	Exophiala xenobiotica	348802		CBS 118157					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYCB01	15
GCF_000835505.1	Exop_xeno_CBS118157_V1	Exophiala xenobiotica	348802		CBS 118157					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYCB01	15
GCA_001078395.2	Aud_assembly02	Aspergillus udagawae	91492		IFM 46973					Annotation submitted by Medical Mycology Research Center	Scaffold	2021-03-12	BBXM02	17
GCF_001078395.1	Aud_assembly02	Aspergillus udagawae	91492		IFM 46973					Annotation submitted by Medical Mycology Research Center	Scaffold	2021-03-12	BBXM02	17
GCA_000836275.1	Exop_meso_CBS40295_V1	Exophiala mesophila	212818		CBS 40295					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBW01	9
GCF_000836275.1	Exop_meso_CBS40295_V1	Exophiala mesophila	212818		CBS 40295					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBW01	9
GCA_000835495.1	Clad_immu_CBS83496_V1	Cladophialophora immunda	569365		CBS 83496					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBZ01	277
GCF_000835495.1	Clad_immu_CBS83496_V1	Cladophialophora immunda	569365		CBS 83496					Annotation submitted by Broad Institute	Scaffold	2015-02-23	JYBZ01	277
GCA_002104945.1	Piromyces sp. finnis v3.0	Piromyces finnis	1754191		finn					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCFH01	232
GCA_030869315.1	CCUS01	Colletotrichum cuscutae	1209917		IMI 304802					Annotation submitted by University of Western Brittany	Scaffold	2023-08-24	MPDP01	325
GCA_002104975.1	Neocallimastix sp. G1 v1.0	Neocallimastix californiae	1754190		G1					Annotation submitted by DOE Joint Genome Institute	Contig	2017-04-20	MCOG01	1819
